DSO,DSO501,C99-488,ROYAL CHVROLET,3115 SOUTH OLD HIGHWAY 37,Batch 1\DSO501\3115 SOUTH OLD HIGHWAY 37.pdf,OPEN FILE
DSO,DSO501,CU-87-96,"STEVE SMITH INVESTMENTS, INC",2501 HIGHWAY 37 BYPASS,Batch 1\DSO501\2501 HIGHWAY 37 BYPASS.pdf,OPEN FILE
DSO,DSO501,C99-138,CANINE COMPANIONS TRAINING,3409 S OLD STATE ROAD 37,Batch 1\DSO501\3409 S OLD STATE ROAD 37.pdf,OPEN FILE
DSO,DSO501,C02-313,SOUTHPLEX,3000 S OLD STATE ROAD 37,Batch 1\DSO501\3000 S OLD STATE ROAD 37.pdf,OPEN FILE
DSO,DSO501,C03-540,ANIMAL SHELTER,3410 SOUTH OLD STATE ROAD 37,Batch 1\DSO501\3410 SOUTH OLD STATE ROAD 37.pdf,OPEN FILE
DSO,DSO501,C07-036,,3805 N OLD STATE ROAD 37,Batch 1\DSO501\3805 N OLD STATE ROAD 37.pdf,OPEN FILE
DSO,DSO501,C02-355,MORRIS G AND ANITA M TAYLOR,75 COXTON ROAD,Batch 1\DSO501\75 COXTON ROAD.pdf,OPEN FILE
DSO,DSO501,C99-294,,3201 W STATE HIGHWAY 45,Batch 1\DSO501\3201 W STATE HIGHWAY 45.pdf,OPEN FILE
DSO,DSO501,C98-427,SAMS CLUB,3205 W STATE ROAD 45,Batch 1\DSO501\3205 W STATE ROAD 45.pdf,OPEN FILE
DSO,DSO501,I15-039,ST MARKS CHURCH,100 N STATE ROAD 46 BYPASS,Batch 1\DSO501\100 N STATE ROAD 46 BYPASS.pdf,OPEN FILE
DSO,DSO501,C98-065,ST MARKS UNITED METHODIST CHURCH,100 N HIGHWAY 46 BYPASS,Batch 1\DSO501\100 N HIGHWAY 46 BYPASS.pdf,OPEN FILE
DSO,DSO501,I18-048,UNIVERSITY MANORS II,340-346 E STATE ROAD 45-46 BYPASS,Batch 1\DSO501\340-346 E STATE ROAD 45-46 BYPASS.pdf,OPEN FILE
DSO,DSO501,C04-191,UNIVERSITY SQUARE,115 S HWY 46,Batch 1\DSO501\115 S HWY 46.pdf,OPEN FILE
DSO,DSO501,,,115 S STATE ROAD 45-46 BYPASS,Batch 1\DSO501\115 S STATE ROAD 45-46 BYPASS.pdf,OPEN FILE
DSO,DSO501,C03-373,CRYSTAL CLEAN CAR WASH,3973 S OLD STATE ROAD 37,Batch 1\DSO501\3973 S OLD STATE ROAD 37.pdf,OPEN FILE
DSO,DSO501,I15-064,STARBUCKS,115 SOUTH STATE ROAD 46 BYPASS,Batch 1\DSO501\115 SOUTH STATE ROAD 46 BYPASS.pdf,OPEN FILE
DSO,DSO501,C15-599,UNIVERSITY MANORS,322 EAST STATE ROAD 45-46 BYPASS,Batch 1\DSO501\322 EAST STATE ROAD 45-46 BYPASS.pdf,OPEN FILE
DSO,DSO501,,BLOOMINGTON LIQUORS,2205 NORTH WALNUT STREET,Batch 1\DSO501\2205 NORTH WALNUT STREET.pdf,OPEN FILE
DSO,DSO501,C96-087,,881 SOUTH STATE ROAD 446,Batch 1\DSO501\881 SOUTH STATE ROAD 446.pdf,OPEN FILE
DSO,DSO501,C98-677,PERRY 1,4418 E BRIDGESTONE DRIVE,Batch 1\DSO501\4418 E BRIDGESTONE DRIVE.pdf,OPEN FILE
DSO,DSO501,C03-727,CENTER FOR BEHAVIORAL HEALTH EMPLOYEE PARKING LOT,400 W 1ST STREET,Batch 1\DSO501\400 W 1ST STREET.pdf,OPEN FILE
DSO,DSO501,C07-806,MEDICAL OFFICES ADDITION,725 WEST 1ST STREET,Batch 1\DSO501\725 WEST 1ST STREET.pdf,OPEN FILE
DSO,DSO501,C99-216,BLOOMINGTON CARDIOLOGY,"926, 1000, 1006 W 1ST STREET","Batch 1\DSO501\926, 1000, 1006 W 1ST STREET.pdf",OPEN FILE
DSO,DSO501,C98-683,,NW CORNER OF 2ND & ROGERS,Batch 1\DSO501\NW CORNER OF 2ND & ROGERS.pdf,OPEN FILE
DSO,DSO501,C97-582,SAHARA MART,106 E 2ND STREET,Batch 1\DSO501\106 E 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C99-729,COLLEGE MALL APARTMENTS,2600 E 2ND STREET,Batch 1\DSO501\2600 E 2ND STREET.pdf,OPEN FILE
DSO,DSO501,CU-53-13,NEW HOPE FAMILY SHELTER INC,303 WEST 2ND STREET,Batch 1\DSO501\303 WEST 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C16-613,CHILD DAY CARE CENTER,303 W 2ND STREET,Batch 1\DSO501\303 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C15-440,NEW HOPE DAY CARE,311 WEST 2ND STREET,Batch 1\DSO501\311 WEST 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C16-614,NEW HOPE IU HEALTH,409 W 2ND STREET,Batch 1\DSO501\409 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C06-802,DR RAY,502 WEST 2ND STREET,Batch 1\DSO501\502 WEST 2ND STREET.pdf,OPEN FILE
DSO,DSO501,V-47-99,BLOOMINGTON HOSPITAL,605 W 2ND STREET,Batch 1\DSO501\605 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C02-768,PHARMACY EXPRESS,730 W 2ND STREET,Batch 1\DSO501\730 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C00-256,THE EYE CENTER OF SOUTHERN INDIANA,1011 WEST SECOND STREET,Batch 1\DSO501\1011 WEST SECOND STREET.pdf,OPEN FILE
DSO,DSO501,C99-126,CINERGY,100 W 2ND STREET,Batch 1\DSO501\100 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C98-406,GENTLE DENTIST,1121 W 2ND STREET,Batch 1\DSO501\1121 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C99-404,KIRBY RISK,1185 W 2ND STREET,Batch 1\DSO501\1185 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,C03-786,WILLIAM F SCHAAD,1204 BLOOMFIELD ROAD,Batch 1\DSO501\1204 BLOOMFIELD ROAD.pdf,OPEN FILE
DSO,DSO501,C06-285,2ND ADAMS CAR WASH,1215 W 2ND STREET,Batch 1\DSO501\1215 W 2ND STREET.pdf,OPEN FILE
DSO,DSO501,,RAY MOORE ENTERPRISES INC,1499 W BLOOMFIELD ROAD,Batch 1\DSO501\1499 W BLOOMFIELD ROAD.pdf,OPEN FILE
DSO,DSO501,C02-770,INTERNATIONAL DATA,1610 W BLOOMFIELD ROAD,Batch 1\DSO501\1610 W BLOOMFIELD ROAD.pdf,OPEN FILE
